first_effectiveness,first_hp,first_attack,first_defense,first_sp_atk,first_sp_def,first_speed,first_mythical,first_legendary,second_effectiveness,second_hp,second_attack,second_defense,second_sp_atk,second_sp_def,second_speed,second_mythical,second_legendary,winner
2.0,40,40,55,40,70,55,0,0,1.0,65,83,57,95,85,105,0,0,0
1.0,50,75,35,70,30,40,0,0,0.5,84,86,88,111,101,60,0,0,1
1.0,55,55,55,85,55,30,0,0,1.0,51,65,65,80,75,59,0,0,1
1.0,55,66,44,44,56,85,0,0,1.0,90,60,70,75,70,45,0,0,0
0.5,80,82,83,100,100,80,0,0,2.0,86,68,72,109,66,106,0,0,1
1.0,95,109,105,75,85,56,0,0,1.0,115,45,20,45,25,20,0,0,0
1.0,20,10,230,10,230,5,0,0,2.0,130,65,60,110,95,65,0,0,1
1.0,30,42,118,42,88,30,0,0,1.0,45,75,37,70,55,83,0,0,1
1.0,100,150,140,100,90,90,0,1,1.0,101,72,72,99,89,29,0,0,0
2.0,45,30,15,85,65,65,0,0,2.0,43,70,48,50,60,38,0,0,0
0.5,45,100,45,45,45,10,0,0,2.0,75,75,55,105,85,30,0,0,1
2.0,59,59,58,90,70,73,0,0,0.5,71,95,85,110,95,79,0,0,1
1.0,45,22,60,27,30,29,0,0,1.0,66,117,70,40,50,67,0,0,1
2.0,95,125,79,60,100,81,0,0,0.5,88,107,122,74,75,64,0,0,0
4.0,45,55,45,65,45,75,0,0,0.5,66,65,48,62,57,52,0,0,0
1.0,45,20,50,60,120,50,0,0,1.0,48,72,48,72,48,48,0,0,0
1.0,60,105,60,120,60,105,0,0,1.0,73,76,75,81,100,100,0,0,0
1.0,105,140,95,55,65,45,0,0,1.0,56,61,65,48,45,38,0,0,0
0.125,60,100,89,55,69,112,0,0,0.5,81,102,77,85,75,85,0,0,0
1.0,73,115,60,60,60,90,0,0,1.0,105,95,75,85,75,74,0,0,0
1.0,62,48,54,63,60,68,0,0,1.0,55,75,85,25,25,15,0,0,0
1.0,60,50,100,85,70,65,0,0,1.0,75,80,95,90,100,50,0,0,0
2.0,80,82,100,83,100,80,0,0,1.0,91,129,90,72,90,108,0,1,1
0.5,41,50,37,50,37,66,0,0,2.0,50,120,53,35,110,87,0,0,1
1.0,20,10,230,10,230,5,0,0,1.0,78,84,78,109,85,100,0,0,1
1.0,55,50,45,135,95,120,0,0,1.0,64,66,68,81,76,50,0,0,0
0.5,44,50,91,24,86,10,0,0,0.25,70,60,75,110,75,90,0,0,1
1.0,64,88,50,88,50,106,0,0,1.0,75,75,95,75,95,113,0,0,1
2.0,80,120,79,95,79,70,0,0,1.0,170,90,45,90,45,60,0,0,0
1.0,40,55,70,45,60,30,0,0,0.5,90,70,80,70,95,70,0,0,1
1.0,30,45,55,70,55,85,0,0,1.0,84,71,43,71,43,48,0,0,0
1.0,50,55,50,36,30,43,0,0,1.0,50,72,35,35,35,65,0,0,1
2.0,100,77,77,128,128,90,1,0,1.0,80,70,65,80,120,100,0,0,1
4.0,40,40,55,40,70,55,0,0,0.5,90,92,87,75,85,76,0,0,1
0.25,65,73,55,47,75,85,0,0,4.0,90,100,90,125,85,90,0,1,1
2.0,45,20,50,60,120,50,0,0,0.5,75,98,63,98,63,101,0,0,1
0.25,67,89,116,79,116,33,0,0,0.5,70,130,100,55,80,65,0,0,1
0.5,45,85,70,40,40,60,0,0,0.5,95,65,110,60,130,65,0,0,1
1.0,28,25,25,45,35,40,0,0,2.0,44,75,35,63,33,45,0,0,1
1.0,70,70,115,130,90,60,0,0,0.5,78,81,71,74,69,126,0,0,1
1.0,61,84,65,70,70,70,0,0,1.0,53,54,53,37,46,45,0,0,0
0.5,35,40,100,90,55,35,0,0,1.0,100,75,115,90,115,85,0,1,1
0.5,44,58,44,58,44,61,0,0,2.0,91,129,90,72,90,108,0,1,1
0.5,75,90,140,60,60,40,0,0,1.0,100,75,115,90,115,85,0,1,1
4.0,44,58,44,58,44,61,0,0,0.25,75,103,80,70,80,92,0,0,1
1.0,35,65,35,65,35,65,0,0,1.0,45,40,60,40,75,50,0,0,0
1.0,85,70,80,97,80,123,0,0,1.0,90,60,60,40,40,40,0,0,0
1.0,40,27,60,37,50,66,0,0,0.25,60,50,50,60,70,50,0,0,0
1.0,53,51,53,61,56,40,0,0,1.0,65,65,45,75,45,95,0,0,1
1.0,50,47,50,57,50,65,0,0,1.0,45,100,45,45,45,10,0,0,0
1.0,44,58,44,58,44,61,0,0,2.0,81,102,77,85,75,85,0,0,1
1.0,50,45,45,35,35,50,0,0,1.0,65,95,100,60,50,50,0,0,1
0.5,75,100,66,60,66,115,0,0,1.0,25,35,70,95,55,45,0,0,0
1.0,55,50,45,135,95,120,0,0,1.0,90,100,70,110,150,80,0,0,0
1.0,40,45,35,30,40,55,0,0,1.0,70,90,45,15,45,50,0,0,0
0.5,39,52,43,60,50,65,0,0,0.5,60,40,60,95,60,55,0,0,0
1.0,126,131,95,131,98,99,0,1,1.0,150,160,100,95,65,100,0,0,1
1.0,68,90,65,50,55,82,0,0,1.0,85,110,90,45,90,80,0,0,0
1.0,90,60,70,75,70,45,0,0,2.0,60,50,40,85,75,95,0,0,1
1.0,65,105,60,60,70,95,0,0,1.0,40,40,50,30,30,30,0,0,0
0.5,100,120,120,150,100,90,0,1,0.25,79,85,60,55,60,71,0,0,0
0.5,95,125,79,60,100,81,0,0,1.0,30,80,90,55,45,55,0,0,0
0.5,60,55,50,40,55,45,0,0,0.25,50,120,53,35,110,87,0,0,1
0.5,66,41,77,61,87,23,0,0,1.0,61,84,65,70,70,70,0,0,1
0.5,75,85,200,55,65,30,0,0,0.25,61,90,45,50,50,160,0,0,1
0.5,70,70,40,60,40,60,0,0,2.0,55,47,52,40,40,41,0,0,0
1.0,70,85,140,85,70,20,0,0,0.5,40,45,65,100,120,90,0,0,0
1.0,70,90,110,60,75,95,0,0,0.25,60,70,65,125,105,90,0,0,0
1.0,75,125,75,30,75,85,0,0,1.0,105,95,75,85,75,74,0,0,0
1.0,59,45,40,35,40,31,0,0,1.0,115,45,20,45,25,20,0,0,0
1.0,45,100,45,45,45,10,0,0,2.0,80,80,80,80,80,80,1,0,1
2.0,60,50,100,85,70,65,0,0,0.5,70,110,80,55,80,105,0,0,1
0.5,75,80,85,110,90,50,0,0,1.0,50,70,100,40,40,30,0,0,0
0.5,58,64,58,80,65,80,0,0,0.5,90,93,55,70,55,55,0,0,0
1.0,86,92,88,68,75,73,0,0,1.0,80,92,65,65,80,68,0,0,0
1.0,58,64,58,80,65,80,0,0,1.0,55,20,35,20,45,75,0,0,0
0.25,55,85,55,50,55,60,0,0,8.0,80,105,65,60,75,130,0,0,1
1.0,35,85,45,35,35,75,0,0,1.0,50,92,108,92,108,35,0,0,1
0.25,75,125,100,70,80,45,0,0,1.0,70,80,50,35,35,35,0,0,0
1.0,70,100,70,105,75,40,0,0,0.5,106,130,90,110,154,90,0,1,1
2.0,70,80,65,90,65,85,0,0,1.0,45,50,55,75,65,30,0,0,0
2.0,62,50,58,73,54,72,0,0,0.5,45,55,45,65,45,75,0,0,1
1.0,77,120,90,60,90,48,0,0,0.5,65,40,70,80,140,70,0,0,1
1.0,100,50,80,60,80,50,0,0,1.0,67,57,55,77,55,114,0,0,1
1.0,55,104,105,94,75,52,0,0,1.0,45,30,50,55,65,45,0,0,0
1.0,10,55,25,35,45,95,0,0,2.0,55,55,45,63,45,45,0,0,1
0.25,60,55,50,40,55,45,0,0,0.5,65,90,120,85,70,60,0,0,1
2.0,75,140,65,112,65,110,0,0,1.0,95,125,79,60,100,81,0,0,0
1.0,120,70,120,75,130,85,0,0,2.0,43,70,48,50,60,38,0,0,0
2.0,45,95,50,40,50,75,0,0,1.0,120,70,120,75,130,85,0,0,1
2.0,60,115,105,65,70,80,0,0,0.5,90,93,55,70,55,55,0,0,0
2.0,68,65,65,125,115,80,0,0,1.0,100,134,110,95,100,61,0,0,0
1.0,25,35,70,95,55,45,0,0,1.0,20,15,20,10,55,80,0,0,0
1.0,60,55,50,40,55,45,0,0,1.0,60,90,55,90,80,110,0,0,1
1.0,78,84,78,109,85,100,0,0,1.0,75,80,60,65,90,102,0,0,1
0.5,60,45,50,90,80,70,0,0,2.0,60,50,70,80,80,140,0,0,1
0.5,60,85,60,85,60,55,0,0,2.0,65,45,55,45,70,45,0,0,0
4.0,60,40,50,75,85,95,0,0,0.5,75,87,63,87,63,98,0,0,1
1.0,70,55,95,95,110,65,0,0,2.0,70,55,75,45,65,60,0,0,1
0.5,45,22,60,27,30,29,0,0,1.0,71,120,95,120,95,99,1,0,1
1.0,70,70,40,60,40,60,0,0,0.25,49,66,70,44,55,51,0,0,0
1.0,95,70,73,95,90,60,0,0,1.0,50,50,95,40,50,35,0,0,0
1.0,105,105,75,65,100,50,0,0,0.5,61,90,45,50,50,160,0,0,0
0.5,80,50,100,100,200,50,0,1,0.5,80,80,80,80,80,80,0,0,1
1.0,63,63,47,41,41,74,0,0,1.0,90,60,70,75,70,45,0,0,0
2.0,80,105,105,105,105,80,0,1,1.0,60,85,69,65,79,80,0,0,1
1.0,150,100,120,100,120,90,0,1,1.0,50,64,50,45,50,41,0,0,0
2.0,80,125,75,40,95,85,0,0,1.0,73,95,62,85,65,85,0,0,1
1.0,61,84,65,70,70,70,0,0,0.5,49,66,70,44,55,51,0,0,0
1.0,135,85,40,40,85,5,0,0,1.0,80,90,80,130,110,110,0,1,0
4.0,100,134,110,95,100,61,0,0,0.25,90,100,90,125,85,90,0,1,1
2.0,90,50,34,60,44,70,0,0,0.5,75,80,55,25,35,35,0,0,0
1.0,70,90,90,135,90,125,1,1,1.0,55,66,44,44,56,85,0,0,0
0.5,70,20,50,20,50,40,0,0,2.0,65,90,122,58,75,84,0,0,1
1.0,60,90,70,60,120,40,0,0,1.0,78,81,71,74,69,126,0,0,1
1.0,20,25,45,70,90,60,0,0,1.0,90,75,85,115,90,55,0,0,0
1.0,60,85,69,65,79,80,0,0,2.0,55,45,43,55,43,72,0,0,0
0.5,70,62,67,55,55,56,0,0,2.0,108,130,95,80,85,102,0,0,1
2.0,70,120,65,45,85,125,0,0,1.0,85,90,80,70,80,130,0,0,1
1.0,80,92,65,65,80,68,0,0,1.0,85,73,70,73,115,67,0,0,0
2.0,58,64,58,80,65,80,0,0,0.5,30,45,59,30,39,57,0,0,0
1.0,65,125,100,55,70,85,0,0,0.5,31,45,90,30,30,40,0,0,0
2.0,80,120,130,55,65,45,0,0,2.0,45,20,50,60,120,50,0,0,1
1.0,67,82,62,46,48,43,0,0,1.0,35,80,50,50,70,120,0,0,1
0.5,50,65,90,35,35,15,0,0,2.0,59,59,58,90,70,73,0,0,1
1.0,71,73,88,120,89,59,0,0,2.0,65,85,70,75,70,40,0,0,0
2.0,100,150,120,120,100,90,0,1,0.5,53,51,53,61,56,40,0,0,0
1.0,65,90,65,61,61,100,0,0,1.0,150,100,120,100,120,90,0,1,1
0.25,83,80,75,70,70,101,0,0,2.0,50,100,150,100,150,50,1,1,0
1.0,55,85,55,50,55,60,0,0,1.0,65,65,60,110,95,130,0,0,1
1.0,68,65,65,125,115,80,0,0,1.0,75,95,60,65,60,115,0,0,1
0.25,90,90,85,125,90,100,0,1,1.0,85,115,80,105,80,50,0,0,0
0.125,70,65,60,90,75,90,0,0,1.0,59,110,150,45,49,35,0,0,1
0.5,70,120,65,45,85,125,0,0,1.0,53,51,53,61,56,40,0,0,0
1.0,77,59,50,67,63,46,0,0,1.0,115,115,85,90,75,100,0,1,1
1.0,83,80,75,70,70,101,0,0,1.0,72,58,80,103,80,97,0,0,0
1.0,105,105,75,65,100,50,0,0,1.0,75,95,95,95,95,85,0,0,1
1.0,30,45,135,45,90,30,0,0,0.5,110,160,110,80,110,100,0,1,1
2.0,100,100,125,110,50,50,0,0,0.5,44,48,65,50,64,43,0,0,0
1.0,43,70,48,50,60,38,0,0,1.0,70,120,40,95,40,95,0,0,1
1.0,50,30,55,65,55,20,0,0,0.5,60,80,50,40,40,30,0,0,1
4.0,72,58,80,103,80,97,0,0,0.5,60,95,80,60,80,30,0,0,0
0.5,75,75,130,75,130,95,0,1,2.0,71,120,95,120,95,99,1,0,1
0.5,76,104,71,104,71,108,0,0,2.0,35,65,35,65,35,65,0,0,0
0.5,65,60,110,130,95,65,0,0,2.0,42,52,67,39,56,50,0,0,0
4.0,66,41,77,61,87,23,0,0,1.0,30,80,90,55,45,55,0,0,1
1.0,60,60,60,105,105,105,0,0,1.0,50,70,50,50,50,70,0,0,0
0.5,65,125,100,55,70,85,0,0,2.0,55,85,55,50,55,60,0,0,0
1.0,70,100,70,105,75,40,0,0,0.5,54,45,47,75,98,52,0,0,1
1.0,60,70,50,100,50,65,0,0,0.5,40,55,99,40,79,47,0,0,0
1.0,80,80,50,40,50,25,0,0,1.0,115,115,85,90,75,100,0,1,1
2.0,45,50,43,40,38,62,0,0,0.5,65,125,100,55,70,85,0,0,1
1.0,80,92,65,65,80,68,0,0,1.0,95,124,78,69,71,58,0,0,0
0.5,70,92,65,80,55,98,0,0,0.5,30,105,90,25,25,50,0,0,0
1.0,40,45,35,40,40,90,0,0,2.0,110,123,65,100,65,65,0,0,1
2.0,70,77,60,97,60,108,0,0,1.0,130,65,60,110,95,65,0,0,0
1.0,58,50,145,95,105,30,0,0,1.0,78,52,60,63,65,23,0,0,0
1.0,75,95,125,45,75,95,0,0,1.0,40,60,30,31,31,70,0,0,0
2.0,126,131,95,131,98,99,0,1,0.5,150,80,44,90,54,80,0,0,0
2.0,45,40,60,40,75,50,0,0,0.5,99,68,83,72,87,51,0,0,1
1.0,85,80,70,135,75,90,0,0,1.0,100,150,140,100,90,90,0,1,1
0.5,40,35,30,120,70,105,0,0,1.0,30,42,118,42,88,30,0,0,0
1.0,75,125,70,125,70,115,0,1,1.0,78,70,61,50,61,100,0,0,0
0.5,100,73,83,73,83,55,0,0,1.0,20,40,90,30,90,25,0,0,0
1.0,70,83,50,37,50,60,0,0,1.0,45,67,60,35,50,63,0,0,1
4.0,95,85,85,65,65,35,0,0,0.5,91,129,90,72,90,108,0,1,1
2.0,60,60,75,60,75,80,0,0,1.0,60,90,70,60,120,40,0,0,0
0.5,85,105,85,40,50,40,0,0,1.0,80,70,65,80,120,100,0,0,1
0.5,65,90,122,58,75,84,0,0,2.0,76,65,45,92,42,91,0,0,1
1.0,40,60,30,31,31,70,0,0,1.0,62,73,55,56,52,84,0,0,1
2.0,60,59,85,79,105,36,0,0,1.0,70,40,50,55,50,25,0,0,0
1.0,116,55,85,107,95,29,0,0,1.0,82,121,119,69,59,71,0,0,1
2.0,65,105,60,60,70,95,0,0,0.5,55,95,115,45,45,35,0,0,0
1.0,50,95,95,35,110,70,0,0,0.5,75,90,140,60,60,40,0,0,0
1.0,40,30,32,50,52,65,0,0,1.0,110,160,110,80,110,100,0,1,1
1.0,95,65,110,60,130,65,0,0,1.0,40,55,30,30,30,60,0,0,0
0.5,50,53,48,53,48,64,0,0,0.5,40,30,30,55,30,85,0,0,1
1.0,65,65,45,75,45,95,0,0,2.0,51,65,65,80,75,59,0,0,0
0.25,35,85,45,35,35,75,0,0,2.0,82,121,119,69,59,71,0,0,0
1.0,50,105,79,35,110,76,0,0,1.0,46,87,60,30,40,57,0,0,0
0.5,40,45,65,100,120,90,0,0,0.5,25,20,15,105,55,90,0,0,1
1.0,85,110,90,45,90,80,0,0,1.0,50,50,50,50,50,50,0,0,0
1.0,36,50,50,65,60,44,0,0,1.0,190,33,58,33,58,33,0,0,0
0.5,72,60,30,20,30,25,0,0,2.0,106,110,90,154,90,130,0,1,1
1.0,75,80,85,110,90,50,0,0,1.0,35,80,50,50,70,120,0,0,0
2.0,40,40,40,70,40,20,0,0,0.5,77,85,51,55,51,65,0,0,1
1.0,62,77,62,50,42,65,0,0,2.0,95,110,80,70,80,50,0,0,0
0.5,55,69,85,32,35,28,0,0,1.0,54,63,52,83,56,97,0,0,1
0.25,80,90,80,130,110,110,0,1,2.0,71,120,95,120,95,99,1,0,0
1.0,85,80,70,135,75,90,0,0,1.0,90,100,90,125,85,90,0,1,1
1.0,50,120,53,35,110,87,0,0,1.0,10,55,25,35,45,95,0,0,1
0.5,80,45,65,90,110,80,0,0,0.5,45,30,50,55,65,45,0,0,0
0.25,60,55,50,40,55,45,0,0,1.0,50,50,77,95,77,91,0,0,1
2.0,82,121,119,69,59,71,0,0,0.25,100,50,50,76,96,70,0,0,0
2.0,65,45,55,45,70,45,0,0,0.5,75,69,72,114,100,104,0,0,1
2.0,108,100,121,81,95,95,0,1,0.5,64,78,52,78,52,81,0,0,0
1.0,38,35,35,65,55,50,0,0,1.0,90,60,60,40,40,40,0,0,0
0.5,75,80,55,25,35,35,0,0,0.5,38,35,40,27,25,35,0,0,1
0.5,85,110,90,45,90,80,0,0,1.0,100,100,100,100,100,100,1,1,1
1.0,50,35,55,25,25,15,0,0,1.0,38,30,41,30,41,60,0,0,1
1.0,65,75,90,97,123,44,0,0,0.5,38,35,40,27,25,35,0,0,0
2.0,48,72,48,72,48,48,0,0,2.0,30,35,30,100,35,80,0,0,1
0.5,75,75,75,125,95,40,0,0,0.5,95,75,110,100,80,30,0,0,0
1.0,65,55,115,100,40,60,0,0,1.0,95,65,65,110,130,60,0,0,1
0.5,95,80,105,40,70,100,0,0,1.0,80,105,65,60,75,130,0,0,1
4.0,85,73,70,73,115,67,0,0,0.5,83,106,65,86,65,85,0,0,1
1.0,60,70,65,125,105,90,0,0,1.0,95,117,80,65,70,92,0,0,1
1.0,30,105,90,25,25,50,0,0,1.0,75,80,70,65,75,90,0,0,1
2.0,40,45,40,62,60,60,0,0,1.0,110,135,60,50,65,88,0,0,1
0.5,95,125,79,60,100,81,0,0,0.5,72,95,67,103,71,122,0,0,1
1.0,76,65,45,92,42,91,0,0,2.0,50,50,40,30,30,50,0,0,0
0.5,110,78,73,76,71,60,0,0,1.0,45,67,60,35,50,63,0,0,1
0.5,80,82,83,100,100,80,0,0,2.0,45,50,43,40,38,62,0,0,0
0.5,40,50,90,30,55,65,0,0,2.0,52,65,55,58,62,60,0,0,0
8.0,91,72,90,129,90,108,1,0,0.5,35,45,160,30,45,70,0,0,0
0.125,60,59,85,79,105,36,0,0,8.0,60,45,50,90,80,70,0,0,1
4.0,75,69,72,114,100,104,0,0,0.5,60,62,63,80,80,60,0,0,0
1.0,75,95,95,95,95,85,0,0,1.0,60,25,35,70,80,60,0,0,0
0.5,75,70,90,70,105,80,0,0,2.0,70,95,85,55,65,70,0,0,0
1.0,80,45,65,90,110,80,0,0,1.0,44,38,33,61,43,70,0,0,0
1.0,75,80,95,90,100,50,0,0,0.5,60,50,70,80,80,140,0,0,0
1.0,30,80,90,55,45,55,0,0,1.0,72,105,115,54,86,68,0,0,1
1.0,65,80,80,59,63,58,0,0,0.5,71,95,85,110,95,79,0,0,1
2.0,76,104,71,104,71,108,0,0,1.0,65,70,60,65,65,115,0,0,1
1.0,95,117,80,65,70,92,0,0,1.0,55,75,50,40,40,80,0,0,0
0.5,55,69,85,32,35,28,0,0,1.0,55,65,95,95,45,85,0,0,1
1.0,60,85,69,60,69,77,0,0,1.0,60,85,42,85,42,91,0,0,1
1.0,90,90,85,125,90,100,0,1,1.0,75,95,60,65,60,115,0,0,1
1.0,44,75,35,63,33,45,0,0,1.0,40,45,40,35,35,56,0,0,1
1.0,65,95,100,60,50,50,0,0,0.5,55,84,105,114,75,52,0,0,1
0.5,70,120,40,95,40,95,0,0,0.5,64,66,68,81,76,50,0,0,0
1.0,80,120,130,55,65,45,0,0,1.0,41,50,37,50,37,66,0,0,1
0.5,50,65,64,44,48,43,0,0,2.0,45,35,50,70,50,30,0,0,0
2.0,123,77,72,99,92,58,0,0,2.0,75,98,63,98,63,101,0,0,1
0.25,75,80,85,110,90,50,0,0,2.0,90,50,34,60,44,70,0,0,1
1.0,40,30,35,50,70,55,0,0,2.0,85,73,70,73,115,67,0,0,1
1.0,70,90,90,135,90,125,1,1,1.0,77,59,50,67,63,46,0,0,0
1.0,110,130,80,70,60,80,0,0,1.0,78,65,68,112,154,75,0,0,0
0.5,70,80,102,80,102,40,0,0,1.0,65,75,90,97,123,44,0,0,1
1.0,65,65,60,110,95,130,0,0,1.0,80,110,60,150,130,70,1,1,1
1.0,75,98,63,98,63,101,0,0,1.0,115,45,20,45,25,20,0,0,0
1.0,41,50,37,50,37,66,0,0,1.0,66,65,48,62,57,52,0,0,0
1.0,65,75,70,95,70,95,0,0,1.0,65,90,65,61,61,100,0,0,1
1.0,45,60,30,80,50,65,0,0,1.0,59,45,40,35,40,31,0,0,0
1.0,95,109,105,75,85,56,0,0,2.0,73,76,75,81,100,100,0,0,1
1.0,126,131,95,131,98,99,0,1,1.0,60,60,60,60,60,60,0,0,0
1.0,90,75,85,115,90,55,0,0,1.0,86,92,88,68,75,73,0,0,1
1.0,80,120,79,95,79,70,0,0,1.0,95,117,184,44,46,28,0,0,0
1.0,95,85,85,65,65,35,0,0,1.0,40,55,30,30,30,60,0,0,1
0.5,67,58,57,81,67,101,0,0,0.5,45,60,32,50,32,76,0,0,0
1.0,55,104,105,94,75,52,0,0,1.0,65,70,60,65,65,115,0,0,1
0.5,110,80,90,95,90,65,0,0,1.0,80,135,130,95,90,70,0,0,1
1.0,65,95,75,55,55,85,0,0,0.5,80,70,40,100,60,145,0,0,1
1.0,78,52,60,63,65,23,0,0,1.0,90,75,85,115,90,55,0,0,1
1.0,116,55,85,107,95,29,0,0,1.0,75,89,85,55,65,36,0,0,1
4.0,55,45,45,25,25,15,0,0,0.5,81,102,77,85,75,85,0,0,1
1.0,46,57,40,40,40,50,0,0,2.0,100,77,77,128,128,90,1,0,1
1.0,45,25,50,25,25,35,0,0,0.5,40,29,45,29,45,36,0,0,1
1.0,75,75,130,75,130,95,0,1,1.0,123,100,62,97,81,68,0,0,0
8.0,91,90,72,90,129,108,0,1,0.25,74,108,133,83,65,32,0,0,0
1.0,55,104,105,94,75,52,0,0,0.5,60,75,100,55,80,50,0,0,0
0.5,100,100,125,110,50,50,0,0,2.0,65,95,57,100,85,93,0,0,1
0.5,60,45,70,45,90,95,0,0,0.25,25,35,70,95,55,45,0,0,0
0.125,83,106,65,86,65,85,0,0,0.125,40,50,90,30,55,65,0,0,0
1.0,45,53,70,40,60,42,0,0,2.0,36,50,50,65,60,44,0,0,1
0.25,60,59,85,79,105,36,0,0,4.0,50,85,55,65,65,90,0,0,1
2.0,80,80,80,80,80,80,1,0,0.5,110,130,80,70,60,80,0,0,1
2.0,100,120,100,150,120,90,0,1,0.5,86,76,86,116,56,95,0,0,1
0.5,45,30,35,20,20,45,0,0,0.5,40,80,35,35,45,70,0,0,1
1.0,38,36,38,32,36,57,0,0,1.0,108,112,118,68,72,47,0,0,0
0.25,40,60,40,40,40,30,0,0,2.0,65,80,140,40,70,70,0,0,1
1.0,66,65,48,62,57,52,0,0,1.0,90,55,75,60,75,30,0,0,0
0.5,56,61,65,48,45,38,0,0,2.0,75,98,63,98,63,101,0,0,1
2.0,58,70,45,40,45,42,0,0,0.5,90,92,87,75,85,76,0,0,1
1.0,80,105,105,105,105,80,0,1,1.0,60,115,105,65,70,80,0,0,1
8.0,30,80,90,55,45,55,0,0,0.125,90,100,90,125,85,90,0,1,1
0.5,44,38,39,61,79,42,0,0,1.0,45,25,50,25,25,35,0,0,0
0.5,40,60,40,40,40,30,0,0,2.0,50,55,50,36,30,43,0,0,1
1.0,25,20,15,105,55,90,0,0,1.0,40,30,30,55,30,85,0,0,0
1.0,20,25,45,70,90,60,0,0,1.0,70,20,50,20,50,40,0,0,0
1.0,77,120,90,60,90,48,0,0,0.5,74,100,72,90,72,46,0,0,0
0.5,60,62,63,80,80,60,0,0,1.0,50,65,85,35,35,55,0,0,0
1.0,80,52,50,90,50,89,0,0,1.0,55,20,35,20,45,75,0,0,0
1.0,40,35,30,120,70,105,0,0,1.0,80,110,120,130,90,70,1,1,0
1.0,80,85,95,30,30,25,0,0,4.0,65,65,65,50,50,90,0,0,1
1.0,44,38,39,61,79,42,0,0,1.0,70,60,75,110,75,90,0,0,1
2.0,90,95,95,70,90,70,0,0,0.5,80,80,80,80,80,80,0,0,1
2.0,75,125,70,125,70,115,0,1,0.5,91,72,90,129,90,108,1,0,0
1.0,76,25,45,67,55,24,0,0,1.0,40,45,35,40,40,90,0,0,1
1.0,59,110,150,45,49,35,0,0,0.5,35,60,44,40,54,55,0,0,1
1.0,99,68,83,72,87,51,0,0,1.0,65,40,50,125,60,30,0,0,0
4.0,95,85,85,65,65,35,0,0,0.5,86,68,72,109,66,106,0,0,0
0.5,70,94,50,94,50,66,0,0,0.5,58,109,112,48,48,109,0,0,1
